,Model,Number of Features,Selected Features,Accuracy,Precision,Recall,F1-Score
13,Logistic Regression,14,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
14,Logistic Regression,15,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
15,Logistic Regression,16,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
16,Logistic Regression,17,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
17,Logistic Regression,18,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
18,Logistic Regression,19,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
19,Logistic Regression,20,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
20,Logistic Regression,21,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
21,Logistic Regression,22,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Max: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
22,Logistic Regression,23,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
23,Logistic Regression,24,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland",0.8,0.85,0.7666666666666666,0.738095238095238
24,Logistic Regression,25,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland",0.8,0.85,0.7666666666666666,0.738095238095238
25,Logistic Regression,26,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L)",0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
26,Logistic Regression,27,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L)",0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
27,Logistic Regression,28,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
28,Logistic Regression,29,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
29,Logistic Regression,30,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
30,Logistic Regression,31,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.8,0.85,0.7666666666666666,0.738095238095238
31,Logistic Regression,32,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
32,Logistic Regression,33,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
33,Logistic Regression,34,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_Bone-, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone-, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
34,Logistic Regression,35,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Mean: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_Bone-, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone-, Peak: g/ml_PSMA_Kidney, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
35,Logistic Regression,36,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Max: g/ml_PSMA_Bone-, Mean: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_Bone-, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone-, Peak: g/ml_PSMA_Kidney, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
36,Logistic Regression,37,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Discordance_choline-FDG_-1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Max: g/ml_PSMA_Bone-, Mean: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_Bone-, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Max: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone-, Peak: g/ml_PSMA_Kidney, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
37,Logistic Regression,38,"Discordance_choline-FDG_1, Difference_PSMA-FDG_1, Difference_PSMA-choline_1, SubNumLN_Inv, Discordance_PSMA-FDG_1, Liver_Inv, Difference_PSMA-FDG_0, WHO, Discordance_PSMA-FDG_-1, Discordance_choline-FDG_0, Gleason, Fixation_choline_0, Fixation_PSMA_0, Fixation_choline_1, Discordance_choline-FDG_-1, Pre-cure_Neutrophils(G/L), Pre-cure_Leukocytes(G/L), Pre-cure_Liver_ALP(U/L), Std. dev: g/ml_Choline_Bone+, Min: g/ml_Choline_Liver, Std. dev: g/ml_Choline_Bone-, Peak: g/ml_Choline_Kidney, Peak: g/ml_Choline_Bone-, Min: g/ml_Choline_SalivaryGland, Max: g/ml_PSMA_Bone-, Mean: g/ml_Choline_Kidney, Std. dev: g/ml_PSMA_Bone-, Pre-cure_Platelets(G/L), Std. dev: g/ml_PSMA_LymphNode+, Mean: g/ml_Choline_Bone+, Max: g/ml_Choline_Kidney, Min: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone+, Max: g/ml_Choline_Bone-, Peak: g/ml_PSMA_Kidney, Std. dev: g/ml_PSMA_SalivaryGland, Pre-cure_Liver_Total_Bilirubin(µmol/L), Std. dev: g/ml_PSMA_Kidney",0.76,0.8166666666666667,0.7666666666666666,0.7047619047619047
